bytes_in,bytes_out,destination.bytes,source.bytes,network.bytes,event.duration,source.ip,destination.ip,source.port,network.packets,destination.port,attack
76.0,56.0,56.0,76.0,132.0,8300.0,10.10.10.10,10.10.10.30,46488.0,2,75.0,1.0
76.0,56.0,56.0,76.0,132.0,7750.0,10.10.10.10,10.10.10.30,49670.0,2,76.0,1.0
76.0,56.0,56.0,76.0,132.0,7750.0,10.10.10.10,10.10.10.30,39846.0,2,77.0,1.0
76.0,56.0,56.0,76.0,132.0,8080.0,10.10.10.10,10.10.10.30,58044.0,2,78.0,1.0
76.0,56.0,56.0,76.0,132.0,7920.0,10.10.10.10,10.10.10.30,47812.0,2,79.0,1.0
76.0,56.0,56.0,76.0,132.0,8120.0,10.10.10.10,10.10.10.30,55026.0,2,81.0,1.0
76.0,56.0,56.0,76.0,132.0,7810.0,10.10.10.10,10.10.10.30,41364.0,2,82.0,1.0
76.0,56.0,56.0,76.0,132.0,8040.0,10.10.10.10,10.10.10.30,52106.0,2,83.0,1.0
76.0,56.0,56.0,76.0,132.0,9060.0,10.10.10.10,10.10.10.30,43200.0,2,84.0,1.0
76.0,56.0,56.0,76.0,132.0,7940.0,10.10.10.10,10.10.10.30,45322.0,2,85.0,1.0
76.0,56.0,56.0,76.0,132.0,8010.0,10.10.10.10,10.10.10.30,60144.0,2,86.0,1.0
76.0,56.0,56.0,76.0,132.0,7910.0,10.10.10.10,10.10.10.30,56446.0,2,87.0,1.0
76.0,56.0,56.0,76.0,132.0,8460.0,10.10.10.10,10.10.10.30,60132.0,2,88.0,1.0
76.0,56.0,56.0,76.0,132.0,7900.0,10.10.10.10,10.10.10.30,45580.0,2,89.0,1.0
76.0,56.0,56.0,76.0,132.0,7770.0,10.10.10.10,10.10.10.30,50980.0,2,90.0,1.0
76.0,56.0,56.0,76.0,132.0,9340.0,10.10.10.10,10.10.10.30,58622.0,2,91.0,1.0
76.0,56.0,56.0,76.0,132.0,7760.0,10.10.10.10,10.10.10.30,39886.0,2,92.0,1.0
76.0,56.0,56.0,76.0,132.0,7970.0,10.10.10.10,10.10.10.30,44412.0,2,93.0,1.0
76.0,56.0,56.0,76.0,132.0,7890.0,10.10.10.10,10.10.10.30,43618.0,2,94.0,1.0
76.0,56.0,56.0,76.0,132.0,7940.0,10.10.10.10,10.10.10.30,59340.0,2,95.0,1.0
76.0,56.0,56.0,76.0,132.0,10310.0,10.10.10.10,10.10.10.30,45500.0,2,96.0,1.0
76.0,56.0,56.0,76.0,132.0,9940.0,10.10.10.10,10.10.10.30,57140.0,2,97.0,1.0
76.0,56.0,56.0,76.0,132.0,8110.0,10.10.10.10,10.10.10.30,55854.0,2,98.0,1.0
76.0,56.0,56.0,76.0,132.0,8150.0,10.10.10.10,10.10.10.30,56770.0,2,99.0,1.0
76.0,56.0,56.0,76.0,132.0,13490.0,10.10.10.10,10.10.10.30,48852.0,2,100.0,1.0
76.0,56.0,56.0,76.0,132.0,9020.0,10.10.10.10,10.10.10.30,44866.0,2,101.0,1.0
76.0,56.0,56.0,76.0,132.0,8920.0,10.10.10.10,10.10.10.30,37844.0,2,102.0,1.0
76.0,56.0,56.0,76.0,132.0,8820.0,10.10.10.10,10.10.10.30,32868.0,2,103.0,1.0
76.0,56.0,56.0,76.0,132.0,8470.0,10.10.10.10,10.10.10.30,39778.0,2,104.0,1.0
76.0,56.0,56.0,76.0,132.0,8740.0,10.10.10.10,10.10.10.30,39518.0,2,105.0,1.0
76.0,56.0,56.0,76.0,132.0,6800.0,10.10.10.10,10.10.10.30,36650.0,2,106.0,1.0
76.0,56.0,56.0,76.0,132.0,7020.0,10.10.10.10,10.10.10.30,34058.0,2,107.0,1.0
76.0,56.0,56.0,76.0,132.0,6930.0,10.10.10.10,10.10.10.30,42080.0,2,108.0,1.0
76.0,56.0,56.0,76.0,132.0,6180.0,10.10.10.10,10.10.10.30,45062.0,2,109.0,1.0
76.0,56.0,56.0,76.0,132.0,7880.0,10.10.10.10,10.10.10.30,41738.0,2,110.0,1.0
76.0,56.0,56.0,76.0,132.0,6130.0,10.10.10.10,10.10.10.30,54798.0,2,111.0,1.0
76.0,56.0,56.0,76.0,132.0,6360.0,10.10.10.10,10.10.10.30,37362.0,2,112.0,1.0
76.0,56.0,56.0,76.0,132.0,6360.0,10.10.10.10,10.10.10.30,32912.0,2,113.0,1.0
76.0,56.0,56.0,76.0,132.0,7400.0,10.10.10.10,10.10.10.30,40412.0,2,114.0,1.0
76.0,56.0,56.0,76.0,132.0,6200.0,10.10.10.10,10.10.10.30,37690.0,2,115.0,1.0
76.0,56.0,56.0,76.0,132.0,6210.0,10.10.10.10,10.10.10.30,44928.0,2,116.0,1.0
76.0,56.0,56.0,76.0,132.0,6350.0,10.10.10.10,10.10.10.30,39498.0,2,117.0,1.0
76.0,56.0,56.0,76.0,132.0,7130.0,10.10.10.10,10.10.10.30,51900.0,2,118.0,1.0
76.0,56.0,56.0,76.0,132.0,7080.0,10.10.10.10,10.10.10.30,33720.0,2,119.0,1.0
76.0,56.0,56.0,76.0,132.0,6320.0,10.10.10.10,10.10.10.30,36212.0,2,120.0,1.0
76.0,56.0,56.0,76.0,132.0,6420.0,10.10.10.10,10.10.10.30,36750.0,2,121.0,1.0
76.0,56.0,56.0,76.0,132.0,7370.0,10.10.10.10,10.10.10.30,52072.0,2,122.0,1.0
76.0,56.0,56.0,76.0,132.0,6390.0,10.10.10.10,10.10.10.30,47674.0,2,123.0,1.0
76.0,56.0,56.0,76.0,132.0,6220.0,10.10.10.10,10.10.10.30,58674.0,2,124.0,1.0
76.0,56.0,56.0,76.0,132.0,6240.0,10.10.10.10,10.10.10.30,44372.0,2,125.0,1.0
76.0,56.0,56.0,76.0,132.0,7050.0,10.10.10.10,10.10.10.30,42926.0,2,126.0,1.0
76.0,56.0,56.0,76.0,132.0,6570.0,10.10.10.10,10.10.10.30,57960.0,2,127.0,1.0
